stem,utc_datetime,weekday,slot,video_exists,sheet_path
CAMHDA301-20190211T061500,2019-02-11T06:15:00+00:00,Monday,061500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190211T061500.png
CAMHDA301-20190211T091500,2019-02-11T09:15:00+00:00,Monday,091500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190211T091500.png
CAMHDA301-20190211T121500,2019-02-11T12:15:00+00:00,Monday,121500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190211T121500.png
CAMHDA301-20190211T151500,2019-02-11T15:15:00+00:00,Monday,151500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190211T151500.png
CAMHDA301-20190211T181500,2019-02-11T18:15:00+00:00,Monday,181500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190211T181500.png
CAMHDA301-20190211T211500,2019-02-11T21:15:00+00:00,Monday,211500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190211T211500.png
CAMHDA301-20190218T001500,2019-02-18T00:15:00+00:00,Monday,001500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190218T001500.png
CAMHDA301-20190218T031500,2019-02-18T03:15:00+00:00,Monday,031500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190218T031500.png
CAMHDA301-20190218T061500,2019-02-18T06:15:00+00:00,Monday,061500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190218T061500.png
CAMHDA301-20190218T091500,2019-02-18T09:15:00+00:00,Monday,091500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190218T091500.png
CAMHDA301-20190218T121500,2019-02-18T12:15:00+00:00,Monday,121500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190218T121500.png
CAMHDA301-20190218T151500,2019-02-18T15:15:00+00:00,Monday,151500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190218T151500.png
CAMHDA301-20190218T181500,2019-02-18T18:15:00+00:00,Monday,181500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190218T181500.png
CAMHDA301-20190218T211500,2019-02-18T21:15:00+00:00,Monday,211500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190218T211500.png
CAMHDA301-20190225T001500,2019-02-25T00:15:00+00:00,Monday,001500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190225T001500.png
CAMHDA301-20190225T031500,2019-02-25T03:15:00+00:00,Monday,031500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190225T031500.png
CAMHDA301-20190225T061500,2019-02-25T06:15:00+00:00,Monday,061500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190225T061500.png
CAMHDA301-20190225T091500,2019-02-25T09:15:00+00:00,Monday,091500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190225T091500.png
CAMHDA301-20190225T121500,2019-02-25T12:15:00+00:00,Monday,121500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190225T121500.png
CAMHDA301-20190225T151500,2019-02-25T15:15:00+00:00,Monday,151500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190225T151500.png
CAMHDA301-20190225T181500,2019-02-25T18:15:00+00:00,Monday,181500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190225T181500.png
CAMHDA301-20190225T211500,2019-02-25T21:15:00+00:00,Monday,211500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190225T211500.png
CAMHDA301-20190304T001500,2019-03-04T00:15:00+00:00,Monday,001500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190304T001500.png
CAMHDA301-20190304T031500,2019-03-04T03:15:00+00:00,Monday,031500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190304T031500.png
CAMHDA301-20190304T061500,2019-03-04T06:15:00+00:00,Monday,061500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190304T061500.png
CAMHDA301-20190304T091500,2019-03-04T09:15:00+00:00,Monday,091500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190304T091500.png
CAMHDA301-20190304T121500,2019-03-04T12:15:00+00:00,Monday,121500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190304T121500.png
CAMHDA301-20190304T151500,2019-03-04T15:15:00+00:00,Monday,151500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190304T151500.png
CAMHDA301-20190304T181500,2019-03-04T18:15:00+00:00,Monday,181500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190304T181500.png
CAMHDA301-20190304T211500,2019-03-04T21:15:00+00:00,Monday,211500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190304T211500.png
CAMHDA301-20190311T001500,2019-03-11T00:15:00+00:00,Monday,001500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190311T001500.png
CAMHDA301-20190311T031500,2019-03-11T03:15:00+00:00,Monday,031500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190311T031500.png
CAMHDA301-20190311T061500,2019-03-11T06:15:00+00:00,Monday,061500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190311T061500.png
CAMHDA301-20190311T091500,2019-03-11T09:15:00+00:00,Monday,091500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190311T091500.png
CAMHDA301-20190311T121500,2019-03-11T12:15:00+00:00,Monday,121500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190311T121500.png
CAMHDA301-20190311T151500,2019-03-11T15:15:00+00:00,Monday,151500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190311T151500.png
CAMHDA301-20190311T181500,2019-03-11T18:15:00+00:00,Monday,181500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190311T181500.png
CAMHDA301-20190311T211500,2019-03-11T21:15:00+00:00,Monday,211500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190311T211500.png
CAMHDA301-20190318T001500,2019-03-18T00:15:00+00:00,Monday,001500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190318T001500.png
CAMHDA301-20190318T031500,2019-03-18T03:15:00+00:00,Monday,031500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190318T031500.png
CAMHDA301-20190318T061500,2019-03-18T06:15:00+00:00,Monday,061500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190318T061500.png
CAMHDA301-20190318T091500,2019-03-18T09:15:00+00:00,Monday,091500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190318T091500.png
CAMHDA301-20190318T121500,2019-03-18T12:15:00+00:00,Monday,121500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190318T121500.png
CAMHDA301-20190318T151500,2019-03-18T15:15:00+00:00,Monday,151500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190318T151500.png
CAMHDA301-20190318T181500,2019-03-18T18:15:00+00:00,Monday,181500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190318T181500.png
CAMHDA301-20190318T211500,2019-03-18T21:15:00+00:00,Monday,211500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190318T211500.png
CAMHDA301-20190325T001500,2019-03-25T00:15:00+00:00,Monday,001500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190325T001500.png
CAMHDA301-20190325T031500,2019-03-25T03:15:00+00:00,Monday,031500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190325T031500.png
CAMHDA301-20190325T061500,2019-03-25T06:15:00+00:00,Monday,061500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190325T061500.png
CAMHDA301-20190325T091500,2019-03-25T09:15:00+00:00,Monday,091500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190325T091500.png
CAMHDA301-20190325T121500,2019-03-25T12:15:00+00:00,Monday,121500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190325T121500.png
CAMHDA301-20190325T151500,2019-03-25T15:15:00+00:00,Monday,151500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190325T151500.png
CAMHDA301-20190325T181500,2019-03-25T18:15:00+00:00,Monday,181500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190325T181500.png
CAMHDA301-20190325T211500,2019-03-25T21:15:00+00:00,Monday,211500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190325T211500.png
CAMHDA301-20190401T001500,2019-04-01T00:15:00+00:00,Monday,001500,False,
CAMHDA301-20190401T031500,2019-04-01T03:15:00+00:00,Monday,031500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190401T031500.png
CAMHDA301-20190401T061500,2019-04-01T06:15:00+00:00,Monday,061500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190401T061500.png
CAMHDA301-20190401T091500,2019-04-01T09:15:00+00:00,Monday,091500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190401T091500.png
CAMHDA301-20190401T121500,2019-04-01T12:15:00+00:00,Monday,121500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190401T121500.png
CAMHDA301-20190401T151500,2019-04-01T15:15:00+00:00,Monday,151500,False,
CAMHDA301-20190401T181500,2019-04-01T18:15:00+00:00,Monday,181500,False,
CAMHDA301-20190401T211500,2019-04-01T21:15:00+00:00,Monday,211500,False,
CAMHDA301-20190408T001500,2019-04-08T00:15:00+00:00,Monday,001500,False,
CAMHDA301-20190408T031500,2019-04-08T03:15:00+00:00,Monday,031500,False,
CAMHDA301-20190408T061500,2019-04-08T06:15:00+00:00,Monday,061500,False,
CAMHDA301-20190408T091500,2019-04-08T09:15:00+00:00,Monday,091500,False,
