stem,utc_datetime,weekday,slot,video_exists,sheet_path
CAMHDA301-20230130T001500,2023-01-30T00:15:00+00:00,Monday,001500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230130T001500.png
CAMHDA301-20230130T031500,2023-01-30T03:15:00+00:00,Monday,031500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230130T031500.png
CAMHDA301-20230130T061500,2023-01-30T06:15:00+00:00,Monday,061500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230130T061500.png
CAMHDA301-20230130T091500,2023-01-30T09:15:00+00:00,Monday,091500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230130T091500.png
CAMHDA301-20230130T121500,2023-01-30T12:15:00+00:00,Monday,121500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230130T121500.png
CAMHDA301-20230130T151500,2023-01-30T15:15:00+00:00,Monday,151500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230130T151500.png
CAMHDA301-20230130T181500,2023-01-30T18:15:00+00:00,Monday,181500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230130T181500.png
CAMHDA301-20230130T211500,2023-01-30T21:15:00+00:00,Monday,211500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230130T211500.png
CAMHDA301-20230206T001500,2023-02-06T00:15:00+00:00,Monday,001500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230206T001500.png
CAMHDA301-20230206T031500,2023-02-06T03:15:00+00:00,Monday,031500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230206T031500.png
CAMHDA301-20230206T061500,2023-02-06T06:15:00+00:00,Monday,061500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230206T061500.png
CAMHDA301-20230206T091500,2023-02-06T09:15:00+00:00,Monday,091500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230206T091500.png
CAMHDA301-20230206T121500,2023-02-06T12:15:00+00:00,Monday,121500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230206T121500.png
CAMHDA301-20230206T151500,2023-02-06T15:15:00+00:00,Monday,151500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230206T151500.png
CAMHDA301-20230206T181500,2023-02-06T18:15:00+00:00,Monday,181500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230206T181500.png
