week_start,temperature01,temperature02,temperature03,temperature04,temperature05,temperature06,temperature07,temperature08,temperature09,temperature10,temperature11,temperature12,temperature13,temperature14,temperature15,temperature16,temperature17,temperature18,temperature19,temperature20,temperature21,temperature22,temperature23,temperature24,_n,array_mean,array_max,array_p90
2016-12-26 00:00:00+00:00,4.8894753,3.7923248,3.3751514,2.7693193,2.902498,2.766909,5.5968614,3.714231,2.6513765,2.796798,2.83505,3.752303,4.9813375,3.249095,2.8834157,3.853862,3.1732414,2.613547,2.5893934,2.5114148,2.8737276,2.4617941,2.4702005,2.7752619,7200,3.2616081,5.5968614,4.578791
2017-01-02 00:00:00+00:00,5.038175,4.2368255,3.6527941,2.8747573,3.0075846,2.888334,5.582456,3.8873734,2.6892467,2.892048,3.0203621,4.2290416,4.482574,3.4956424,2.8263667,3.4071674,2.9884946,2.7322168,2.628949,2.5197513,2.7646797,2.4476836,2.4919343,2.6884594,50400,3.3113716,5.582456,4.4088492
2017-01-09 00:00:00+00:00,4.605432,4.0271688,3.6960309,2.8575864,2.968119,2.8832164,5.4964466,3.6098473,2.6905224,2.8118737,2.9219894,4.009539,4.8747053,3.2342966,2.8261409,3.6563208,2.9531593,2.666984,2.6082468,2.540091,2.804518,2.4803205,2.5124454,2.7130976,34241,3.2686708,5.4964466,4.431953
2017-01-16 00:00:00+00:00,4.6746,3.9732006,3.634995,2.8277159,2.9646628,2.8735054,5.574156,3.6884072,2.6973882,2.811973,2.8966231,3.908682,4.6372495,3.2677262,2.8708289,3.6685178,3.05323,2.6570587,2.6212475,2.5549967,2.8588881,2.486551,2.508706,2.739933,50270,3.2687848,5.574156,4.438035
2017-01-23 00:00:00+00:00,4.4709353,4.222348,3.788958,2.8256884,2.9502363,19.341312,5.2407207,3.5468626,2.6331666,2.776055,2.918327,4.021616,4.6739855,3.2337685,2.7755353,3.4717002,2.9243274,2.6336148,2.556755,2.488727,2.7429795,2.428619,2.4598608,2.6620436,50400,3.9078395,19.341312,4.6130705
2017-01-30 00:00:00+00:00,4.688712,4.086878,3.856418,2.7974472,2.9574149,42.25005,5.465165,3.7123382,2.6743746,2.8224378,2.9215722,4.134967,4.620679,3.370932,2.8377807,3.5612693,3.0695136,2.6698124,2.6133215,2.5163543,2.7886386,2.4345117,2.477397,2.6820745,50278,4.9170856,42.25005,4.668302
2017-02-06 00:00:00+00:00,4.751153,4.2852626,4.000571,2.8185675,2.9637341,,5.469832,3.633028,2.6656647,2.7983353,2.9354045,4.1655936,4.558768,3.2875714,2.8073688,3.4239557,2.9566996,2.6331384,2.5673473,2.5036738,2.7955098,2.4340875,2.4580224,2.6686223,50334,3.28617,5.469832,4.504067
2017-02-13 00:00:00+00:00,4.749296,4.2703032,4.121853,2.8284576,2.9885464,46.619133,5.525693,3.837468,2.6499214,2.8737326,2.9903822,4.202619,4.641169,3.4260495,2.8771706,3.4392233,3.126304,2.7314675,2.632016,2.5045946,2.809274,2.4369793,2.4909825,2.6889868,40803,5.144234,46.619133,4.716858
2017-02-20 00:00:00+00:00,5.0840545,4.4051514,4.2582207,2.9052896,3.0800998,,5.6865215,4.0729313,2.715046,2.9444754,3.0881393,4.4889383,4.310412,3.635333,2.9513102,3.320809,3.1544602,2.820842,2.6879337,2.560808,2.8848813,2.4807236,2.5290368,2.685763,50400,3.423964,5.6865215,4.472181
2017-02-27 00:00:00+00:00,4.8532763,4.121873,4.0236106,2.814015,2.968261,,5.733591,3.8508468,2.6756382,2.8262432,2.9362469,4.147684,4.5824394,3.4206662,2.9567866,3.5157402,3.1589046,2.7370367,2.6478045,2.5379398,2.9170902,2.4770927,2.5181825,2.7056336,44129,3.3533306,5.733591,4.495488
2017-03-06 00:00:00+00:00,4.9854074,4.3911853,4.4852285,2.9184997,3.1090717,,5.633851,4.097755,2.6706712,2.92876,3.1064918,4.7068973,4.157665,3.584003,2.9650803,3.2821605,3.1564133,2.8249521,2.6747782,2.531549,2.9268894,2.4653342,2.5187225,2.6625972,117552,3.4253898,5.633851,4.6625633
2017-03-13 00:00:00+00:00,4.8113027,4.2301188,4.3105974,2.8529131,3.0369961,,5.7196465,3.9486914,2.6670914,2.8643408,2.9782398,4.438733,4.3391886,3.4331198,2.9807649,3.6516538,3.384225,2.7929485,2.6648607,2.5263278,2.917693,2.4607341,2.5195568,2.738094,120947,3.4029496,5.7196465,4.418824
2017-03-20 00:00:00+00:00,4.6930685,4.3262997,4.560737,2.8705812,3.054605,,5.43295,3.7048285,2.6179993,2.7852423,3.0107214,4.580465,4.25065,3.2732885,2.8382306,3.5553262,3.0370176,2.707462,2.5789099,2.4858766,2.8218486,2.430706,2.4506876,2.6527774,120960,3.3356643,5.43295,4.5765195
2017-03-27 00:00:00+00:00,4.876545,4.3530116,5.1159687,2.8925884,3.0876794,,5.4895577,3.8286762,2.624678,2.8105164,3.0564394,4.748006,4.1104555,3.365405,2.8528228,3.47818,3.1172526,2.7398043,2.5910213,2.487161,2.8343515,2.4187367,2.4469643,2.66153,120947,3.3907545,5.4895577,4.850837
2017-04-03 00:00:00+00:00,5.1247478,4.544222,5.032879,2.9539013,3.165111,,5.4724655,4.0334253,2.6906173,2.904108,3.136935,4.949092,3.9065804,3.5450394,2.9254236,3.3640847,3.2391574,2.8607075,2.6531563,2.5304282,2.8618507,2.4555929,2.4908671,2.662487,120960,3.4566467,5.4724655,5.0161214
2017-04-10 00:00:00+00:00,5.20042,4.448891,4.5410585,2.8898861,3.1007044,,5.5476594,3.9662354,2.6716821,2.8330235,3.0074282,4.54988,3.988065,3.4794903,2.9267504,3.505168,3.361872,2.7969668,2.632246,2.5221972,2.933321,2.44996,2.4818745,2.7001076,120960,3.4145603,5.5476594,4.5481157
2017-04-17 00:00:00+00:00,5.140317,4.500904,4.335828,2.8184268,3.0135357,,5.6538467,3.7509725,2.6659179,2.723086,2.845763,4.117217,4.133285,3.2865465,2.918886,3.9698985,3.4806883,2.6840396,2.5872087,2.5282333,2.972931,2.456333,2.477765,2.7838914,120960,3.3845878,5.6538467,4.467889
2017-04-24 00:00:00+00:00,5.417855,4.7616086,4.6727057,2.956672,3.185245,,5.4309196,3.9259186,2.5835593,2.8719099,3.1275947,4.9702764,3.8728797,3.4638512,2.8755074,3.4455636,3.4412742,2.8303862,2.5941672,2.4661663,2.8460438,2.4228537,2.447767,2.6636083,120960,3.44671,5.4309196,4.9285426
2017-05-01 00:00:00+00:00,5.2623367,4.6509304,4.662115,2.9313989,3.1241846,,5.6075907,4.054617,2.6398869,2.8540545,3.0450249,4.8101206,3.771764,3.537778,2.9416108,3.3711078,3.3566618,2.7995276,2.6381812,2.5261807,2.9713154,2.4512157,2.482181,2.696642,120960,3.4428883,5.6075907,4.7805195
2017-05-08 00:00:00+00:00,5.2780313,4.194182,4.862116,2.9021163,3.0739148,,5.7622457,3.8359334,2.659757,2.7825296,2.9405637,4.6466575,4.0597467,3.2788322,2.8751144,3.9913533,3.321215,2.6968732,2.6004426,2.5260549,2.940711,2.4605637,2.4862096,2.7974489,120960,3.4335918,5.7622457,4.819024
2017-05-15 00:00:00+00:00,5.4065666,3.9133546,4.941977,2.8622189,2.96404,,5.9424996,3.8155937,2.64971,2.7637143,2.8367991,4.5230684,4.0785947,3.2676213,2.9869487,4.120031,3.510708,2.692664,2.6321294,2.523084,3.0588033,2.473606,2.4976916,2.8178635,120934,3.4469256,5.9424996,4.8581953
2017-05-22 00:00:00+00:00,4.918954,4.0816884,4.8416367,2.8263993,2.9473066,,5.54416,3.6021957,2.6785903,2.7378068,2.8488479,4.5219126,4.3432283,3.148161,2.8528905,3.9970531,3.3009965,2.6258326,2.5837233,2.5378647,2.9419441,2.4670978,2.4757972,2.7486353,120764,3.3727272,5.54416,4.777692
2017-05-29 00:00:00+00:00,4.8586097,4.040618,4.9354744,2.787392,2.936483,,5.738358,3.8284993,2.699002,2.8064573,2.8544097,4.496359,4.3251777,3.3054683,2.9107423,4.0760283,3.4550526,2.7325635,2.6554248,2.5492182,2.945024,2.4660144,2.5040917,2.7445645,120960,3.41961,5.738358,4.7861595
2017-06-05 00:00:00+00:00,4.8023267,4.2548013,5.1448936,2.8896427,3.045396,,6.068785,4.072148,2.6906986,2.9286149,3.015863,4.8314834,4.009226,3.501942,2.9988744,3.691868,3.5305715,2.8620534,2.7167456,2.5594862,3.0144722,2.4804,2.5390673,2.7403026,120960,3.4952028,6.068785,4.825652
2017-06-12 00:00:00+00:00,4.4543867,5.3785696,5.4070706,2.7620597,2.8834887,,5.900861,3.7681556,2.6809328,2.785137,2.8205905,4.345807,4.6390877,3.2030418,2.9751136,4.3096304,3.5819254,2.7041547,2.6603034,2.5483186,3.062176,2.4721754,2.5194914,2.7745562,120960,3.5059578,5.900861,5.2306733
2017-06-19 00:00:00+00:00,4.2501316,42.102043,5.7713113,2.7923484,2.868213,,5.4507227,3.4513917,2.6327488,2.6947684,2.853379,4.6402903,4.732233,3.032917,2.8351533,4.0722294,3.2101364,2.6546998,2.5471544,2.4936023,2.8688946,2.4420848,2.4635668,2.6882262,120960,5.023837,42.102043,5.307025
2017-06-26 00:00:00+00:00,4.4364786,,5.626326,2.8747885,3.0054255,,5.6731224,3.9985378,2.6342227,2.903797,3.0116823,4.9957476,4.084503,3.4839575,3.0260205,3.8112607,3.6812952,2.8814213,2.6758263,2.5332053,3.0229368,2.4692612,2.5162556,2.7015493,120960,3.45671,5.6731224,4.939821
2017-07-03 00:00:00+00:00,4.3253007,,5.948665,2.8549623,2.983721,,5.717934,4.0682855,2.6394184,2.9097383,2.9798312,5.104458,4.225958,3.45878,3.0871747,4.1142473,3.97313,2.8663633,2.695149,2.5433383,3.105718,2.472192,2.538164,2.758019,120931,3.5168428,5.948665,5.026542
2017-07-10 00:00:00+00:00,4.3067617,,5.0163307,2.8585482,2.9610987,,5.786729,3.918016,2.7211056,2.862385,2.9606876,4.8487234,4.4248943,3.4500291,3.0635593,4.0374293,3.5449672,2.7900825,2.6756597,2.6054971,3.067049,2.5201826,2.54016,2.7393427,120960,3.4408746,5.786729,4.8063407
2017-07-17 00:00:00+00:00,4.353996,,4.87191,2.8740656,2.9953597,,5.597834,3.876598,2.658448,2.8709266,2.9901798,5.0581284,4.3171086,3.4999237,3.072558,3.8913124,3.6432655,2.8503458,2.6649618,2.566749,3.0535705,2.4977365,2.51335,2.6942022,120936,3.4278421,5.597834,4.820119
2017-07-24 00:00:00+00:00,4.1907797,,4.932014,2.8692484,2.974851,,5.5432158,3.891424,2.6497247,2.8674953,2.985822,5.1010633,4.449389,3.493102,3.043285,4.014635,3.687078,2.8512175,2.6880789,2.5580814,3.0276592,2.4774773,2.5330875,2.7117321,120956,3.4336576,5.5432158,4.8837514
2017-07-31 00:00:00+00:00,4.510193,,5.2151165,2.9435456,3.0706868,,5.726695,4.0750084,2.6352167,2.9481626,3.1440077,6.0221233,4.0264764,3.6589804,3.0410073,3.5366135,3.617835,2.9440558,2.7154713,2.5391903,2.9805174,2.4715495,2.5388982,2.6735115,120960,3.5015845,6.0221233,5.144624
