frame_id,date,unit,model,raw_count,recall,corrected_count,corrected_lo,corrected_hi
CAMHDA301-20190225T181500,2019-02-25,CAMHDA301-2018,v2,8,0.4474,17.8824,16.2051,20.0521
CAMHDA301-20190225T211500,2019-02-25,CAMHDA301-2018,v2,10,0.4474,22.3529,20.2564,25.0651
CAMHDA301-20190304T001500,2019-03-04,CAMHDA301-2018,v2,6,0.4474,13.4118,12.1539,15.0391
CAMHDA301-20190304T031500,2019-03-04,CAMHDA301-2018,v2,13,0.4474,29.0588,26.3334,32.5846
CAMHDA301-20190304T121500,2019-03-04,CAMHDA301-2018,v2,9,0.4474,20.1176,18.2308,22.5586
CAMHDA301-20190304T151500,2019-03-04,CAMHDA301-2018,v2,8,0.4474,17.8824,16.2051,20.0521
CAMHDA301-20190304T181500,2019-03-04,CAMHDA301-2018,v2,11,0.4474,24.5882,22.2821,27.5716
CAMHDA301-20190311T001500,2019-03-11,CAMHDA301-2018,v2,14,0.4474,31.2941,28.359,35.0911
CAMHDA301-20190311T061500,2019-03-11,CAMHDA301-2018,v2,8,0.4474,17.8824,16.2051,20.0521
CAMHDA301-20190311T121500,2019-03-11,CAMHDA301-2018,v2,12,0.4474,26.8235,24.3077,30.0781
CAMHDA301-20190311T181500,2019-03-11,CAMHDA301-2018,v2,9,0.4474,20.1176,18.2308,22.5586
CAMHDA301-20190311T211500,2019-03-11,CAMHDA301-2018,v2,9,0.4474,20.1176,18.2308,22.5586
CAMHDA301-20190318T001500,2019-03-18,CAMHDA301-2018,v2,12,0.4474,26.8235,24.3077,30.0781
CAMHDA301-20190318T031500,2019-03-18,CAMHDA301-2018,v2,13,0.4474,29.0588,26.3334,32.5846
CAMHDA301-20190318T061500,2019-03-18,CAMHDA301-2018,v2,1,0.4474,2.2353,2.0256,2.5065
CAMHDA301-20190318T091500,2019-03-18,CAMHDA301-2018,v2,3,0.4474,6.7059,6.0769,7.5195
CAMHDA301-20190318T121500,2019-03-18,CAMHDA301-2018,v2,11,0.4474,24.5882,22.2821,27.5716
CAMHDA301-20190318T151500,2019-03-18,CAMHDA301-2018,v2,2,0.4474,4.4706,4.0513,5.013
CAMHDA301-20190318T181500,2019-03-18,CAMHDA301-2018,v2,15,0.4474,33.5294,30.3846,37.5977
CAMHDA301-20190318T211500,2019-03-18,CAMHDA301-2018,v2,13,0.4474,29.0588,26.3334,32.5846
CAMHDA301-20190325T001500,2019-03-25,CAMHDA301-2018,v2,3,0.4474,6.7059,6.0769,7.5195
CAMHDA301-20190325T061500,2019-03-25,CAMHDA301-2018,v2,16,0.4474,35.7647,32.4103,40.1042
CAMHDA301-20190325T091500,2019-03-25,CAMHDA301-2018,v2,8,0.4474,17.8824,16.2051,20.0521
CAMHDA301-20190325T211500,2019-03-25,CAMHDA301-2018,v2,12,0.4474,26.8235,24.3077,30.0781
CAMHDA301-20190429T001500,2019-04-29,CAMHDA301-2018,v2,11,0.4474,24.5882,22.2821,27.5716
CAMHDA301-20190429T031500,2019-04-29,CAMHDA301-2018,v2,16,0.4474,35.7647,32.4103,40.1042
CAMHDA301-20190429T061500,2019-04-29,CAMHDA301-2018,v2,14,0.4474,31.2941,28.359,35.0911
CAMHDA301-20190429T091500,2019-04-29,CAMHDA301-2018,v2,17,0.4474,38.0,34.4359,42.6107
CAMHDA301-20190429T121500,2019-04-29,CAMHDA301-2018,v2,12,0.4474,26.8235,24.3077,30.0781
CAMHDA301-20190429T181500,2019-04-29,CAMHDA301-2018,v2,4,0.4474,8.9412,8.1026,10.026
CAMHDA301-20190429T211500,2019-04-29,CAMHDA301-2018,v2,16,0.4474,35.7647,32.4103,40.1042
CAMHDA301-20190506T001500,2019-05-06,CAMHDA301-2018,v2,9,0.4474,20.1176,18.2308,22.5586
CAMHDA301-20190506T031500,2019-05-06,CAMHDA301-2018,v2,11,0.4474,24.5882,22.2821,27.5716
CAMHDA301-20190506T121500,2019-05-06,CAMHDA301-2018,v2,15,0.4474,33.5294,30.3846,37.5977
CAMHDA301-20190506T151500,2019-05-06,CAMHDA301-2018,v2,9,0.4474,20.1176,18.2308,22.5586
CAMHDA301-20190506T181500,2019-05-06,CAMHDA301-2018,v2,16,0.4474,35.7647,32.4103,40.1042
CAMHDA301-20190506T211500,2019-05-06,CAMHDA301-2018,v2,16,0.4474,35.7647,32.4103,40.1042
CAMHDA301-20190513T001500,2019-05-13,CAMHDA301-2018,v2,18,0.4474,40.2353,36.4616,45.1172
CAMHDA301-20190513T121500,2019-05-13,CAMHDA301-2018,v2,9,0.4474,20.1176,18.2308,22.5586
CAMHDA301-20190513T151500,2019-05-13,CAMHDA301-2018,v2,4,0.4474,8.9412,8.1026,10.026
CAMHDA301-20190527T001500,2019-05-27,CAMHDA301-2018,v2,2,0.4474,4.4706,4.0513,5.013
CAMHDA301-20190527T031500,2019-05-27,CAMHDA301-2018,v2,22,0.4474,49.1765,44.5641,55.1432
CAMHDA301-20190527T061500,2019-05-27,CAMHDA301-2018,v2,7,0.4474,15.6471,14.1795,17.5456
CAMHDA301-20190527T091500,2019-05-27,CAMHDA301-2018,v2,1,0.4474,2.2353,2.0256,2.5065
CAMHDA301-20190527T151500,2019-05-27,CAMHDA301-2018,v2,14,0.4474,31.2941,28.359,35.0911
CAMHDA301-20190527T181500,2019-05-27,CAMHDA301-2018,v2,8,0.4474,17.8824,16.2051,20.0521
CAMHDA301-20190527T211500,2019-05-27,CAMHDA301-2018,v2,10,0.4474,22.3529,20.2564,25.0651
CAMHDA301-20190610T091500,2019-06-10,CAMHDA301-2018,v2,20,0.4474,44.7059,40.5129,50.1302
CAMHDA301-20190701T211500,2019-07-01,CAMHDA301-2018,v2,0,0.4474,0.0,0.0,0.0
CAMHDA301-20190708T121500,2019-07-08,CAMHDA301-2018,v2,0,0.4474,0.0,0.0,0.0
CAMHDA301-20190708T211500,2019-07-08,CAMHDA301-2018,v2,11,0.4474,24.5882,22.2821,27.5716
CAMHDA301-20190715T121500,2019-07-15,CAMHDA301-2018,v2,9,0.4474,20.1176,18.2308,22.5586
CAMHDA301-20190715T151500,2019-07-15,CAMHDA301-2018,v2,12,0.4474,26.8235,24.3077,30.0781
CAMHDA301-20190715T181500,2019-07-15,CAMHDA301-2018,v2,16,0.4474,35.7647,32.4103,40.1042
CAMHDA301-20190715T211500,2019-07-15,CAMHDA301-2018,v2,14,0.4474,31.2941,28.359,35.0911
