ym,ts,n_frames,n_black,sharp_median,sharp_p90,sharp_max,brightness,contrast,note,path
2022-W46,20221120T031500,8,0,278.9,307.9,323.1,114.28,38.78,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2022/11/20/CAMHDA301-20221120T031500.mp4
2022-W47,20221121T000000,6,2,462.4,506.9,507.4,91.46,65.61,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2022/11/21/CAMHDA301-20221121T000000.mp4
2022-W46,20221120T183000,8,0,91.4,114.1,145.4,75.20,31.65,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2022/11/20/CAMHDA301-20221120T183000.mp4
2022-W46,20221120T234500,8,0,548.9,737.6,795.5,91.83,65.65,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2022/11/20/CAMHDA301-20221120T234500.mp4
2022-W47,20221121T211500,8,0,495.8,696.8,826.0,88.84,48.32,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2022/11/21/CAMHDA301-20221121T211500.mp4
2022-W48,20221201T174500,0,8,,,,,,all-black,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2022/12/01/CAMHDA301-20221201T174500.mp4
2022-W48,20221201T061500,0,8,,,,,,all-black,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2022/12/01/CAMHDA301-20221201T061500.mp4
2022-W47,20221123T211500,8,0,419.8,851.7,1296.3,84.51,52.30,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2022/11/23/CAMHDA301-20221123T211500.mp4
2022-W48,20221202T050000,0,8,,,,,,all-black,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2022/12/02/CAMHDA301-20221202T050000.mp4
2022-W47,20221122T211500,8,0,408.5,622.3,806.4,87.49,48.81,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2022/11/22/CAMHDA301-20221122T211500.mp4
2022-W48,20221202T161500,0,8,,,,,,all-black,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2022/12/02/CAMHDA301-20221202T161500.mp4
2022-W47,20221124T211500,8,0,259.1,729.9,885.2,85.54,49.70,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2022/11/24/CAMHDA301-20221124T211500.mp4
2022-W47,20221127T211500,8,0,469.3,990.1,1151.6,85.16,55.05,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2022/11/27/CAMHDA301-20221127T211500.mp4
2022-W48,20221128T001500,8,0,363.9,656.9,832.2,84.83,55.43,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2022/11/28/CAMHDA301-20221128T001500.mp4
2022-W47,20221126T211500,8,0,353.4,557.3,581.0,83.23,51.46,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2022/11/26/CAMHDA301-20221126T211500.mp4
2022-W47,20221125T211500,8,0,396.5,672.8,1034.5,83.76,50.80,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2022/11/25/CAMHDA301-20221125T211500.mp4
2022-W48,20221203T033000,0,8,,,,,,all-black,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2022/12/03/CAMHDA301-20221203T033000.mp4
2022-W48,20221203T144500,0,8,,,,,,all-black,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2022/12/03/CAMHDA301-20221203T144500.mp4
2022-W49,20221210T001500,8,0,357.2,411.1,479.7,89.57,53.28,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2022/12/10/CAMHDA301-20221210T001500.mp4
2022-W49,20221205T001500,8,0,501.4,867.5,1281.0,85.57,49.09,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2022/12/05/CAMHDA301-20221205T001500.mp4
2022-W48,20221204T211500,8,0,414.8,876.5,1384.8,86.90,52.11,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2022/12/04/CAMHDA301-20221204T211500.mp4
2022-W49,20221210T103000,8,0,141.1,167.5,167.6,108.07,21.71,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2022/12/10/CAMHDA301-20221210T103000.mp4
2022-W49,20221207T121500,8,0,435.7,896.6,1357.2,82.75,53.10,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2022/12/07/CAMHDA301-20221207T121500.mp4
