stem,dt,scene1_time_s,human_count
CAMHDA301-20240506T001500,2024-05-06T00:15:00,420.0,
CAMHDA301-20240506T091500,2024-05-06T09:15:00,450.0,3
CAMHDA301-20240506T121500,2024-05-06T12:15:00,450.0,9
CAMHDA301-20240506T151500,2024-05-06T15:15:00,420.0,2
CAMHDA301-20240513T001500,2024-05-13T00:15:00,420.0,10
CAMHDA301-20240513T031500,2024-05-13T03:15:00,420.0,15
CAMHDA301-20240513T061500,2024-05-13T06:15:00,450.0,3
CAMHDA301-20240513T151500,2024-05-13T15:15:00,420.0,13
CAMHDA301-20240513T181500,2024-05-13T18:15:00,420.0,9
CAMHDA301-20240513T211500,2024-05-13T21:15:00,420.0,6
CAMHDA301-20240520T091500,2024-05-20T09:15:00,240.0,7
CAMHDA301-20240527T001500,2024-05-27T00:15:00,420.0,9
CAMHDA301-20240527T031500,2024-05-27T03:15:00,420.0,7
CAMHDA301-20240527T061500,2024-05-27T06:15:00,450.0,8
CAMHDA301-20240527T211500,2024-05-27T21:15:00,420.0,4
