ym,ts,n_frames,n_black,sharp_median,sharp_p90,sharp_max,brightness,contrast,note,path
2025-04,20250420T131500,8,0,69.0,110.3,115.4,73.22,17.84,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/04/20/CAMHDA301-20250420T131500.mp4
2025-04,20250423T031500,8,0,131.8,244.9,328.3,82.39,41.83,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/04/23/CAMHDA301-20250423T031500.mp4
2025-05,20250502T233000,8,0,177.5,197.2,208.9,126.43,34.98,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/05/02/CAMHDA301-20250502T233000.mp4
2025-05,20250501T163000,8,0,118.9,135.1,161.5,81.93,43.01,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/05/01/CAMHDA301-20250501T163000.mp4
2025-04,20250430T211500,8,0,119.2,221.7,237.5,77.71,36.37,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/04/30/CAMHDA301-20250430T211500.mp4
2025-05,20250501T010000,8,0,167.8,222.3,230.6,74.60,42.04,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/05/01/CAMHDA301-20250501T010000.mp4
2025-05,20250503T150000,8,0,135.7,147.7,151.0,111.39,40.60,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/05/03/CAMHDA301-20250503T150000.mp4
2025-05,20250502T080000,8,0,89.9,104.8,109.0,112.85,36.09,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/05/02/CAMHDA301-20250502T080000.mp4
2025-05,20250510T101500,8,0,116.8,141.1,167.7,115.11,41.43,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/05/10/CAMHDA301-20250510T101500.mp4
2025-05,20250511T181500,8,0,245.4,346.1,455.0,81.66,40.75,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/05/11/CAMHDA301-20250511T181500.mp4
2025-05,20250507T031500,8,0,221.2,296.8,320.6,78.24,39.52,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/05/07/CAMHDA301-20250507T031500.mp4
2025-05,20250520T144500,8,0,73.1,93.0,113.2,61.69,26.54,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/05/20/CAMHDA301-20250520T144500.mp4
2025-05,20250519T121500,8,0,329.5,478.8,519.5,76.21,44.43,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/05/19/CAMHDA301-20250519T121500.mp4
